SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,DATE,TOTALTRADES,ISIN
DNAMEDIA,EQ,3.3,3.3,3.3,3.3,3.3,3.15,42512,140289.6,2021-06-16,45,INE016M01021
DOLAT,EQ,76.95,78,75.1,75.65,75.4,76.75,331041,25370190.8,2021-06-16,5528,INE966A01022
DOLLAR,EQ,312.7,324,311.45,317.35,318.4,310.6,183499,58231397.6,2021-06-16,6155,INE325C01035
DONEAR,EQ,44.9,44.9,41.1,41.95,41.85,43.75,417810,17951933.8,2021-06-16,2984,INE668D01028
DPABHUSHAN,EQ,177,177.4,165.1,168.35,166.1,175.05,86544,14841797.75,2021-06-16,2038,INE266Y01019
DPSCLTD,EQ,16.75,16.9,15.6,16.25,16.2,16.3,188397,3051991.75,2021-06-16,936,INE360C01024
DPWIRES,EQ,169.6,178,153.85,161.4,161.7,167.6,100574,16561278.25,2021-06-16,2655,INE864X01013
DRCSYSTEMS,BE,270.25,280,270.25,279.95,279.95,279.6,294,81371.9,2021-06-16,34,INE03RS01019
DREDGECORP,EQ,400,439.7,399.95,419.25,415.3,397.95,1705059,730594391.6,2021-06-16,51854,INE506A01018
DRREDDY,EQ,5410,5458,5340.3,5406.1,5393.9,5410.85,698591,3785405092,2021-06-16,44288,INE089A01023
DSSL,EQ,161.45,163.75,153.1,157.05,156.35,158.95,47683,7510537.05,2021-06-16,1666,INE417B01040
DTIL,EQ,466,466,466,466,466,388.35,40389,18821274,2021-06-16,735,INE341R01014
DUCON,EQ,12.35,12.75,11.8,12.1,12.15,12.35,462753,5621698.85,2021-06-16,1085,INE741L01018
DVL,EQ,196.9,216.9,196.35,208.3,209,195,550107,115959768.4,2021-06-16,13972,INE477B01010
DWARKESH,EQ,72,73.3,69.2,70.1,70.25,71.85,4550777,322069067.6,2021-06-16,18353,INE366A01041
DYNAMATECH,EQ,1447.15,1462,1429,1437.95,1438,1445.1,4224,6077545.7,2021-06-16,641,INE221B01012
DYNPRO,EQ,480.15,495,475.55,483.55,482.9,480.15,61080,29684757.4,2021-06-16,3863,INE256H01015
E2E,SM,41,41,40.8,40.8,40.8,42.9,10000,408400,2021-06-16,5,INE255Z01019
EASEMYTRIP,EQ,427.25,441.65,414.05,420.15,419.5,421.3,2251563,960245277.7,2021-06-16,44146,INE07O001018
EASTSILK,BE,4.85,4.85,4.5,4.55,4.55,4.7,75987,346791.9,2021-06-16,179,INE962C01027
EASUNREYRL,BZ,3.45,3.45,3.2,3.45,3.45,3.3,16667,56835.4,2021-06-16,36,INE268C01029
EBANK,EQ,3780.09,3886,3780.09,3886,3886,3897,15,56913.17,2021-06-16,2,INF754K01EL1
EBBETF0423,EQ,1137.75,1140.75,1136.56,1140.2,1140.75,1137.48,83204,94755250.21,2021-06-16,2160,INF754K01KN4
EBBETF0425,EQ,1051,1051,1048.55,1048.76,1048.55,1051.9,4073,4279030.47,2021-06-16,46,INF754K01LD3
EBBETF0430,EQ,1164.9,1165.49,1162.21,1163.76,1164.96,1165.23,6580,7659587.85,2021-06-16,88,INF754K01KO2
EBBETF0431,EQ,1047.14,1047.97,1045,1046.03,1046.95,1047.14,26943,28192180.22,2021-06-16,185,INF754K01LE1
EBIXFOREX,EQ,656.95,658.8,625.1,629.6,630,648.55,2308,1466972.3,2021-06-16,185,INE726L01019
ECLERX,EQ,1740,1773.9,1695,1725.75,1714,1746.45,105761,183624956.4,2021-06-16,9749,INE738I01010
ECLFINANCE,NF,1070.6,1074.99,1070.6,1070.85,1070.85,1070,110,117974.33,2021-06-16,4,INE804I074Y7
ECLFINANCE,NG,990,990,990,990,990,990,6,5940,2021-06-16,1,INE804I075Y4
ECLFINANCE,NH,1260,1260,1260,1260,1260,1238,5,6300,2021-06-16,1,INE804I076Y2
ECLFINANCE,NI,1042,1045,1042,1045,1045,1043,205,213904,2021-06-16,8,INE804I077Y0
ECLFINANCE,NJ,937.15,937.5,936.5,936.89,937,937.02,185,173329.75,2021-06-16,10,INE804I078Y8
ECLFINANCE,NK,984,990,983.1,990,990,990,312,307426.2,2021-06-16,3,INE804I079Y6
ECLFINANCE,NM,1030,1031.8,1025.1,1027.31,1028,1024.1,1938,1990721.81,2021-06-16,32,INE804I075Z1
ECLFINANCE,NN,1240,1240,1240,1240,1240,1240,50,62000,2021-06-16,1,INE804I076Z9
ECLFINANCE,NO,1000,1002,1000,1002,1002,995,75,75102,2021-06-16,2,INE804I077Z7
ECLFINANCE,NR,998,1005,997,1004.99,1004.99,997.07,381,381015.09,2021-06-16,12,INE804IA7014
EDELWEISS,EQ,74,74,70.6,72.1,72.2,74,2541984,184044726.8,2021-06-16,17937,INE532F01054
EDUCOMP,BZ,3.9,3.9,3.65,3.85,3.8,3.8,203635,778127.65,2021-06-16,155,INE216H01027
EHFLNCD,N3,1080,1082,1080,1082,1082,1080,87,94060,2021-06-16,3,INE530L07194
EHFLNCD,N5,969,969.98,957.1,957.1,957.1,969.7,74,71534.31,2021-06-16,6,INE530L07210
EHFLNCD,N6,1032.5,1033,1024.06,1024.15,1024.06,1034,309,317228.9,2021-06-16,11,INE530L07228
EICHERMOT,EQ,2751,2777.65,2724.3,2741.05,2743.45,2763.5,312868,859106507.7,2021-06-16,31822,INE066A01021
EIDPARRY,EQ,438,445,425.55,427.4,426.05,438.55,693017,300739220.7,2021-06-16,23583,INE126A01031
EIHAHOTELS,EQ,357.95,359.15,348.1,352.95,351.5,351.55,13361,4722333.15,2021-06-16,832,INE276C01014
EIHOTEL,EQ,118.75,118.75,114.8,115.8,115.4,118,477158,55614750.6,2021-06-16,6809,INE230A01023
EIMCOELECO,EQ,395.5,395.5,377.55,379.9,378.85,382.85,2017,771637.1,2021-06-16,305,INE158B01016
EKC,BE,101.3,102.6,98.5,100.05,100.25,102.8,214844,21493630.35,2021-06-16,1878,INE184H01027
ELECON,EQ,129,138.7,125,135.15,135.5,127.75,3863799,513911977.4,2021-06-16,34986,INE205B01023
ELECTCAST,EQ,38.05,38.5,36.7,37.3,36.95,37.75,1758839,65926523.15,2021-06-16,5069,INE086A01029
ELECTHERM,EQ,158.75,159.2,148,149.8,149.55,157.85,78444,11971758.75,2021-06-16,3776,INE822G01016
ELGIEQUIP,EQ,216.4,217.45,202.2,209.5,209,214.1,139192,29430414.9,2021-06-16,4617,INE285A01027
